tournament_id_espn,tournament_id_pgatour,tournament_name,season_id
2725,t464,safeway open,2017
2728,t494,cimb classic,2017
2722,t489,world golf championships-hsbc champions,2017
2711,t054,sanderson farms championship,2017
2716,t047,shriners hospitals for children open,2017
2724,t457,ohl classic at mayakoba,2017
2729,t493,the rsm classic,2017
2689,t016,sbs tournament of champions,2017
2694,t006,sony open in hawaii,2017
2690,t002,careerbuilder challenge,2017
2693,t004,farmers insurance open,2017
2691,t003,waste management phoenix open,2017
2692,t005,at&t pebble beach pro-am,2017
2695,t007,genesis open,2017
2696,t010,the honda classic,2017
3735,t473,world golf championships-mexico championship,2017
2719,t475,valspar championship,2017
2697,t009,arnold palmer invitational presented by mastercard,2017
2720,t470,world golf championships-dell technologies match play,2017
2726,t483,puerto rico open,2017
2703,t020,shell houston open,2017
2700,t014,masters tournament,2017
2701,t012,rbc heritage,2017
2717,t041,valero texas open,2017
2698,t018,zurich classic of new orleans,2017
3067,t480,wells fargo championship,2017
2699,t011,the players championship,2017
2704,t019,at&t byron nelson,2017
2705,t021,dean & deluca invitational,2017
2706,t023,the memorial tournament presented by nationwide,2017
2707,t025,fedex st. jude classic,2017
3066,t026,u.s. open,2017
2708,t034,travelers championship,2017
3068,t471,quicken loans national,2017
2727,t490,the greenbrier classic,2017
2715,t030,john deere classic,2017
2710,t100,the open championship,2017
2730,t518,barbasol championship,2017
2714,t032,rbc canadian open,2017
2713,t476,world golf championships-bridgestone invitational,2017
2721,t472,barracuda championship,2017
2712,t033,pga championship,2017
2702,t013,wyndham championship,2017
3065,t027,the northern trust,2017
2723,t505,dell technologies championship,2017
2709,t028,bmw championship,2017
2718,t060,tour championship,2017
3777,t464,safeway open,2018
3780,t494,cimb classic,2018
3802,t521,the cj cup @ nine bridges,2018
3763,t054,sanderson farms championship,2018
3774,t489,world golf championships-hsbc champions,2018
3768,t047,shriners hospitals for children open,2018
3776,t457,ohl classic at mayakoba,2018
3781,t493,the rsm classic,2018
3742,t016,sentry tournament of champions,2018
3747,t006,sony open in hawaii,2018
3743,t002,careerbuilder challenge,2018
3746,t004,farmers insurance open,2018
3744,t003,waste management phoenix open,2018
3745,t005,at&t pebble beach pro-am,2018
3748,t007,genesis open,2018
3749,t010,the honda classic,2018
3789,t473,world golf championships-mexico championship,2018
3771,t475,valspar championship,2018
3750,t009,arnold palmer invitational presented by mastercard,2018
3772,t470,world golf championships-dell technologies match play,2018
3803,t522,corales puntacana resort & club championship,2018
3756,t020,houston open,2018
401025221,t014,masters tournament,2018
401025246,t012,rbc heritage,2018
401025247,t041,valero texas open,2018
401025248,t018,zurich classic of new orleans,2018
401025249,t480,wells fargo championship,2018
401025250,t011,the players championship,2018
401025251,t019,at&t byron nelson,2018
401025252,t021,fort worth invitational,2018
401025253,t023,the memorial tournament presented by nationwide,2018
401025254,t025,fedex st. jude classic,2018
401025255,t026,u.s. open,2018
401025256,t034,travelers championship,2018
401025270,t471,quicken loans national,2018
401025257,t490,a military tribute at the greenbrier,2018
401025258,t030,john deere classic,2018
401025259,t100,the open championship,2018
401025271,t518,barbasol championship,2018
401025260,t032,rbc canadian open,2018
401025261,t476,world golf championships-bridgestone invitational,2018
401025262,t472,barracuda championship,2018
401025263,t033,pga championship,2018
401025264,t013,wyndham championship,2018
401025265,t027,the northern trust,2018
401025266,t505,dell technologies championship,2018
401025267,t028,bmw championship,2018
401025268,t060,tour championship,2018
401056252,t464,safeway open,2019
401056500,t494,cimb classic,2019
401056501,t521,the cj cup @ nine bridges,2019
401056502,t489,world golf championships-hsbc champions,2019
401056503,t054,sanderson farms championship,2019
401056504,t047,shriners hospitals for children open,2019
401056505,t457,mayakoba golf classic,2019
401056506,t493,the rsm classic,2019
401056507,t016,sentry tournament of champions,2019
401056510,t006,sony open in hawaii,2019
401056511,t002,desert classic,2019
401056512,t004,farmers insurance open,2019
401056513,t003,waste management phoenix open,2019
401056514,t005,at&t pebble beach pro-am,2019
401056515,t007,genesis open,2019
401056516,t473,world golf championships-mexico championship,2019
401056517,t483,puerto rico open,2019
401056520,t010,the honda classic,2019
401056521,t009,arnold palmer invitational presented by mastercard,2019
401056522,t011,the players championship,2019
401056523,t475,valspar championship,2019
401056524,t470,world golf championships-dell technologies match play,2019
401056525,t522,corales puntacana resort & club championship,2019
401056526,t041,valero texas open,2019
401056527,t014,masters tournament,2019
401056528,t012,rbc heritage,2019
401056529,t018,zurich classic of new orleans,2019
401056550,t480,wells fargo championship,2019
401056551,t019,at&t byron nelson,2019
401056552,t033,pga championship,2019
401056553,t021,charles schwab challenge,2019
401056554,t023,the memorial tournament presented by nationwide,2019
401056555,t032,rbc canadian open,2019
401056556,t026,u.s. open,2019
401056549,t034,travelers championship,2019
401056557,t524,rocket mortgage classic,2019
401056558,t525,3m open,2019
401056548,t030,john deere classic,2019
401056547,t100,the open championship,2019
401056546,t518,barbasol championship,2019
401056559,t476,world golf championships-fedex st. jude invitational,2019
401056560,t472,barracuda championship,2019
401056545,t013,wyndham championship,2019
401056544,t027,the northern trust,2019
401056543,t028,bmw championship,2019
401056542,t060,tour championship,2019
401148233,t490,a military tribute at the greenbrier,2020
401148234,t054,sanderson farms championship,2020
401148235,t464,safeway open,2020
401148236,t047,shriners hospitals for children open,2020
401148237,t020,houston open,2020
401148238,t521,the cj cup @ nine bridges,2020
401148239,t527,zozo championship,2020
401148240,t528,bermuda championship,2020
401148241,t489,world golf championships-hsbc champions,2020
401148242,t457,mayakoba golf classic,2020
401148243,t493,the rsm classic,2020
401155413,t016,sentry tournament of champions,2020
401155418,t006,sony open in hawaii,2020
401155419,t002,the american express,2020
401155420,t004,farmers insurance open,2020
401155421,t003,waste management phoenix open,2020
401155422,t005,at&t pebble beach pro-am,2020
401155423,t007,the genesis invitational,2020
401155424,t473,world golf championships-mexico championship,2020
401155425,t483,puerto rico open,2020
401155426,t010,the honda classic,2020
401155427,t009,arnold palmer invitational presented by mastercard,2020
401155459,t021,charles schwab challenge,2020
401219498,t012,rbc heritage,2020
401155466,t034,travelers championship,2020
401155460,t524,rocket mortgage classic,2020
401223849,t533,workday charity open,2020
401155461,t023,the memorial tournament presented by nationwide,2020
401155472,t525,3m open,2020
401155467,t476,world golf championships-fedex st. jude invitational,2020
401155468,t472,barracuda championship,2020
401219481,t033,pga championship,2020
401155473,t013,wyndham championship,2020
401155474,t027,the northern trust,2020
401155475,t028,bmw championship,2020
401155476,t060,tour championship,2020
